participant,scenario,difficulty,accuracy,normative_error,normative_score,normative_entropy,lc_error,lc_score,lc_entropy,lc_prior_bf,lc_prior_bf_aic
59402f40e9b44100013b1789,crime,1,1.0,,,,,,,1,1
59de425bbe399f0001e4975e,crime,2,0.3333333333333333,,,,,,,0,0
5b6baad47e435d0001c1c88f,crime,2,0.8333333333333334,,,,,,,0,1
5b74413e722bd2000195c067,crime,3,0.6666666666666667,,,,,,,1,1
5ba4d6c929629d00014e6c28,crime,3,0.6666666666666667,,,,,,,0,1
5badf0aeae1d020001df2cc7,crime,2,0.5,,,,,,,0,0
5c6d938c79151c00017c7560,crime,1,1.0,,,,,,,0,0
5c74f0d525c76b0010706736,crime,2,0.3333333333333333,,,,,,,1,1
5c9124ef3b7f9e0013728485,crime,1,0.6666666666666667,,,,,,,1,1
5cae09506d573900175d4727,crime,2,0.6666666666666667,,,,,,,0,0
5cb304b63742a400153b756d,crime,3,1.0,,,,,,,1,1
5ccc758ab11510001584a1af,crime,3,1.0,,,,,,,1,1
5cd98287b0c5ec0001e0965a,crime,2,0.5,,,,,,,1,1
5cdeaeb3557fbd00018a2c59,crime,2,1.0,,,,,,,0,1
5cf92c7255e1370001e54adb,crime,3,1.0,,,,,,,1,1
5d29fbc8f91bdd0016e98503,crime,3,0.3333333333333333,,,,,,,0,0
5d36ff998129260015c6de19,crime,1,0.8333333333333334,,,,,,,0,1
5d6e3252dfe6d10001dbe508,crime,1,0.8333333333333334,,,,,,,0,0
5d94c6f5dc0b0e001465072e,crime,1,1.0,,,,,,,0,1
5da60411423c170017b7dc0f,crime,1,1.0,,,,,,,1,1
5dc56fbac34fc53e4e78b820,crime,3,0.6666666666666667,,,,,,,1,1
5e29e902c2253a0587298e26,crime,2,0.6666666666666667,,,,,,,0,0
5e5eb4843accc91e2443212f,crime,1,0.6666666666666667,,,,,,,0,0
5e87a0b5fc57a7415442f97e,crime,2,0.6666666666666667,,,,,,,1,1
5e9948b69223aa17c21564f4,crime,2,0.5,,,,,,,0,1
5e99e838545b26058749d068,crime,1,1.0,,,,,,,0,1
5ecba4b6ef75d53505406d57,crime,1,0.6666666666666667,,,,,,,0,0
5ecd7b06a1a9170e7806f51e,crime,3,0.5,,,,,,,0,0
5ed8be74a4175a01156004b0,crime,3,0.8333333333333334,,,,,,,0,0
5edaa4924ea9bd6f14f3d618,crime,3,1.0,,,,,,,0,0
5edbaae1b9f9f68349ce80f3,crime,3,0.8333333333333334,,,,,,,0,0
5ef109c89196fa6d5cf6c005,crime,2,0.6666666666666667,,,,,,,0,0
5ef8a0b375e30603ebc12510,crime,3,0.6666666666666667,,,,,,,0,0
5f1b69a1459c1e0009a83009,crime,3,0.6666666666666667,,,,,,,0,0
5f2dbc04160a0f0d88ee4440,crime,3,0.3333333333333333,,,,,,,0,1
5f31671e69023f000b0c0547,crime,3,1.0,,,,,,,0,0
5f3c2701fa55251a108b07e6,crime,1,1.0,,,,,,,0,0
5f64b5eed3b0d9015f58920c,crime,2,1.0,,,,,,,0,0
5f6875b05e3bc74d0dee825e,crime,3,0.8333333333333334,,,,,,,0,0
5f6a7d0d9d705213a0db27e2,crime,1,0.8333333333333334,,,,,,,1,1
5f75cc1fb0741626d6634281,crime,1,0.6666666666666667,,,,,,,0,0
5f7728b294840b203855824d,crime,2,0.1666666666666666,,,,,,,1,1
5f91ad02439b5e04b51d69a0,crime,1,0.8333333333333334,,,,,,,0,0
5f958e181381b5079be5d02f,crime,3,0.6666666666666667,,,,,,,0,1
5f9a893d999ea71a0c6c4851,crime,3,0.5,,,,,,,0,0
5fa01b6003aed3026366571c,crime,3,0.8333333333333334,,,,,,,0,0
5fa91c5d816c5c831297d606,crime,1,0.1666666666666666,,,,,,,0,0
5fb6ed2116919c000a99249e,crime,3,1.0,,,,,,,1,1
5fb91837b8c8756d924f7351,crime,1,0.8333333333333334,,,,,,,0,0
5fbeef08fae48b16613fbe94,crime,1,0.8333333333333334,,,,,,,1,1
5fc64e35746dd626bb337f76,crime,2,0.6666666666666667,,,,,,,0,0
5fc7efbee5390f0b42e30f22,crime,3,0.5,,,,,,,1,1
5fc86c1b2df6ff1ff7a51ea5,crime,2,0.6666666666666667,,,,,,,0,1
5fcb705d9b31048d04ac0a8a,crime,1,0.8333333333333334,,,,,,,1,1
5fd761f02e24f003c7dbc814,crime,2,1.0,,,,,,,0,0
5fecb4e73e41f76583b6023a,crime,1,0.6666666666666667,,,,,,,0,0
5fedf2023cc53c06d3406a14,crime,3,0.1666666666666666,,,,,,,0,0
5ffb3cdfa301645772b03b49,crime,3,1.0,,,,,,,1,1
600090cc2864f714e71d0e45,crime,3,0.5,,,,,,,0,0
60042af01e4c4b52c5ee0c01,crime,1,0.5,,,,,,,1,0
600a9ab59e9b701db49fbec1,crime,3,0.8333333333333334,,,,,,,0,0
600ec679c144277505d6428d,crime,1,1.0,,,,,,,0,0
60142d5718e5943b09fd9298,crime,1,0.8333333333333334,,,,,,,0,0
601859370b15830bb219db7a,crime,3,0.6666666666666667,,,,,,,1,1
6023df50d5c2d7069115de3f,crime,1,0.8333333333333334,,,,,,,1,1
60358e8f4cf36d6725a603dd,crime,2,0.5,,,,,,,0,0
603691e060f42aaf3b034a94,crime,2,0.3333333333333333,,,,,,,0,0
603bf563c71a1c8ca72cbbac,crime,2,0.8333333333333334,,,,,,,0,0
603c11e7db9042987c7180be,crime,3,0.5,,,,,,,0,1
6040a6019923db2cb26b04e0,crime,1,0.8333333333333334,,,,,,,0,0
604258da4004870ebf00822d,crime,2,0.6666666666666667,,,,,,,1,1
604b859f965723dde6768f6c,crime,1,0.8333333333333334,,,,,,,0,0
604e2e30b9ef1f91e2e6a67a,crime,3,0.0,,,,,,,1,1
6052554f2d140e57270e22f9,crime,2,0.8333333333333334,,,,,,,1,1
605260141614ee63870d2394,crime,2,0.8333333333333334,,,,,,,1,1
6055511b69c5e470713c8717,crime,1,0.6666666666666667,,,,,,,0,0
6055b240728724a27d38b40a,crime,2,0.8333333333333334,,,,,,,0,0
605b2e99ac3c7259bbbefc2f,crime,1,0.8333333333333334,,,,,,,0,1
606098b34aa547f1cb645083,crime,2,1.0,,,,,,,0,0
6063738895dfdf467955017c,crime,1,0.8333333333333334,,,,,,,0,0
60649bf146ce5a76f4bef1ce,crime,3,0.6666666666666667,,,,,,,1,1
6065ba36add2074fed28d812,crime,2,0.8333333333333334,,,,,,,1,1
606a3cb8f0138d1b0a789c2b,crime,3,0.8333333333333334,,,,,,,1,1
607728dc0b4f8590b94ae57c,crime,2,0.5,,,,,,,1,1
6079b2d809f2f241470e821f,crime,2,0.8333333333333334,,,,,,,0,1
607dc10ae5bc5c8b32b18e9a,crime,2,1.0,,,,,,,1,1
6081db2a9344bdf3d4413d45,crime,1,0.6666666666666667,,,,,,,0,0
6084499487b6d10d2aabda10,crime,1,1.0,,,,,,,1,1
60913f7000c9d4d18948da79,crime,3,0.8333333333333334,,,,,,,0,0
6092de3f71eab0b8ffb3a1fc,crime,2,0.6666666666666667,,,,,,,1,1
60990347620d51b977f34ce0,crime,3,0.6666666666666667,,,,,,,0,1
609ab3c7fdf2516540d38003,crime,1,0.8333333333333334,,,,,,,0,0
60a2541c0e5a829853aad745,crime,1,0.6666666666666667,,,,,,,0,0
60a2e8c68b3c9c53a3aef722,crime,3,0.8333333333333334,,,,,,,1,1
60a5769dbae38f67750f42e4,crime,2,0.6666666666666667,,,,,,,0,0
60a7bfcca14b2acd0cb66b16,crime,2,0.5,,,,,,,0,0
60aabff11bad269f664ccbc7,crime,1,0.6666666666666667,,,,,,,0,1
60aac06904242bda27c46987,crime,2,0.3333333333333333,,,,,,,0,0
60ae4fc3b2a7bb662abb8852,crime,2,0.3333333333333333,,,,,,,0,0
60afa415649ba80204381dad,crime,3,0.3333333333333333,,,,,,,1,1
60b553fb5705a4355358afaf,crime,1,1.0,,,,,,,0,1
60b5cbacd78980bbcd8ddd41,crime,2,0.5,,,,,,,1,1
60b64f694c19cc0041d1a830,crime,2,0.8333333333333334,,,,,,,0,0
60b66d5d7b07f575f5070524,crime,1,0.8333333333333334,,,,,,,0,0
60b6bccce70b9dcb57760f69,crime,3,0.3333333333333333,,,,,,,0,1
60b6c415dbda3236ea22455a,crime,1,0.5,,,,,,,0,0
60b7e7db11897639638f15cb,crime,2,0.5,,,,,,,0,1
60b889967014a024377477fa,crime,2,0.8333333333333334,,,,,,,0,0
60b8bfa6fd93d6732a7d4ddf,crime,3,0.8333333333333334,,,,,,,1,1
60b8db5feb283b86cce8de9f,crime,3,0.5,,,,,,,0,0
60b90114ef13bcd3c200c193,crime,3,0.6666666666666667,,,,,,,0,1
60b91d545349ec32de395ddd,crime,1,0.3333333333333333,,,,,,,0,0
60ba349d21c7acbaaabc36dd,crime,3,0.5,,,,,,,0,0
60ba6740a76fadb32842870e,crime,2,0.5,,,,,,,0,0
60ba81c2a91092e4071c276c,crime,3,0.8333333333333334,,,,,,,0,1
60bb608a2da16013513f577e,crime,2,0.6666666666666667,,,,,,,1,1
60bd04a3749e1ca47e54d3e1,crime,1,1.0,,,,,,,0,0
60bda3d97d8f5c8f09917d2f,crime,2,0.6666666666666667,,,,,,,0,0
60bddb39c8287f341bad6ad6,crime,2,0.3333333333333333,,,,,,,0,0
60bdf618de5fce4b2423e8d7,crime,2,1.0,,,,,,,1,1
60be136a592f08dc5f9e4b28,crime,1,0.8333333333333334,,,,,,,0,1
59402f40e9b44100013b1789,estate,2,0.8333333333333334,,,,,,,1,1
59de425bbe399f0001e4975e,estate,3,0.0,,,,,,,0,0
5b6baad47e435d0001c1c88f,estate,3,0.8333333333333334,,,,,,,0,1
5b74413e722bd2000195c067,estate,1,1.0,,,,,,,1,1
5ba4d6c929629d00014e6c28,estate,2,0.6666666666666667,,,,,,,0,1
5badf0aeae1d020001df2cc7,estate,1,0.3333333333333333,,,,,,,0,0
5c6d938c79151c00017c7560,estate,3,1.0,,,,,,,0,0
5c74f0d525c76b0010706736,estate,1,0.8333333333333334,,,,,,,1,1
5c9124ef3b7f9e0013728485,estate,3,0.8333333333333334,,,,,,,1,1
5cae09506d573900175d4727,estate,1,0.8333333333333334,,,,,,,0,0
5cb304b63742a400153b756d,estate,2,0.6666666666666667,,,,,,,1,1
5ccc758ab11510001584a1af,estate,1,1.0,,,,,,,1,1
5cd98287b0c5ec0001e0965a,estate,1,0.6666666666666667,,,,,,,1,1
5cdeaeb3557fbd00018a2c59,estate,3,1.0,,,,,,,0,1
5cf92c7255e1370001e54adb,estate,2,0.8333333333333334,,,,,,,1,1
5d29fbc8f91bdd0016e98503,estate,1,0.5,,,,,,,0,0
5d36ff998129260015c6de19,estate,3,0.5,,,,,,,0,1
5d6e3252dfe6d10001dbe508,estate,2,0.3333333333333333,,,,,,,0,0
5d94c6f5dc0b0e001465072e,estate,2,0.8333333333333334,,,,,,,0,1
5da60411423c170017b7dc0f,estate,3,1.0,,,,,,,1,1
5dc56fbac34fc53e4e78b820,estate,1,0.6666666666666667,,,,,,,1,1
5e29e902c2253a0587298e26,estate,1,0.8333333333333334,,,,,,,0,0
5e5eb4843accc91e2443212f,estate,3,0.5,,,,,,,0,0
5e87a0b5fc57a7415442f97e,estate,3,0.8333333333333334,,,,,,,1,1
5e9948b69223aa17c21564f4,estate,3,0.5,,,,,,,0,1
5e99e838545b26058749d068,estate,3,0.6666666666666667,,,,,,,0,1
5ecba4b6ef75d53505406d57,estate,3,0.6666666666666667,,,,,,,0,0
5ecd7b06a1a9170e7806f51e,estate,2,1.0,,,,,,,0,0
5ed8be74a4175a01156004b0,estate,1,0.5,,,,,,,0,0
5edaa4924ea9bd6f14f3d618,estate,2,0.8333333333333334,,,,,,,0,0
5edbaae1b9f9f68349ce80f3,estate,2,1.0,,,,,,,0,0
5ef109c89196fa6d5cf6c005,estate,1,0.6666666666666667,,,,,,,0,0
5ef8a0b375e30603ebc12510,estate,2,0.6666666666666667,,,,,,,0,0
5f1b69a1459c1e0009a83009,estate,2,0.8333333333333334,,,,,,,0,0
5f2dbc04160a0f0d88ee4440,estate,2,0.6666666666666667,,,,,,,0,1
5f31671e69023f000b0c0547,estate,2,1.0,,,,,,,0,0
5f3c2701fa55251a108b07e6,estate,2,0.5,,,,,,,0,0
5f64b5eed3b0d9015f58920c,estate,1,1.0,,,,,,,0,0
5f6875b05e3bc74d0dee825e,estate,1,1.0,,,,,,,0,0
5f6a7d0d9d705213a0db27e2,estate,2,0.8333333333333334,,,,,,,1,1
5f75cc1fb0741626d6634281,estate,2,0.6666666666666667,,,,,,,0,0
5f7728b294840b203855824d,estate,1,0.6666666666666667,,,,,,,1,1
5f91ad02439b5e04b51d69a0,estate,2,0.5,,,,,,,0,0
5f958e181381b5079be5d02f,estate,1,1.0,,,,,,,0,1
5f9a893d999ea71a0c6c4851,estate,2,0.6666666666666667,,,,,,,0,0
5fa01b6003aed3026366571c,estate,1,1.0,,,,,,,0,0
5fa91c5d816c5c831297d606,estate,3,0.6666666666666667,,,,,,,0,0
5fb6ed2116919c000a99249e,estate,1,1.0,,,,,,,1,1
5fb91837b8c8756d924f7351,estate,2,0.8333333333333334,,,,,,,0,0
5fbeef08fae48b16613fbe94,estate,3,1.0,,,,,,,1,1
5fc64e35746dd626bb337f76,estate,3,0.8333333333333334,,,,,,,0,0
5fc7efbee5390f0b42e30f22,estate,1,0.8333333333333334,,,,,,,1,1
5fc86c1b2df6ff1ff7a51ea5,estate,3,0.6666666666666667,,,,,,,0,1
5fcb705d9b31048d04ac0a8a,estate,2,0.6666666666666667,,,,,,,1,1
5fd761f02e24f003c7dbc814,estate,1,1.0,,,,,,,0,0
5fecb4e73e41f76583b6023a,estate,2,0.6666666666666667,,,,,,,0,0
5fedf2023cc53c06d3406a14,estate,2,0.6666666666666667,,,,,,,0,0
5ffb3cdfa301645772b03b49,estate,1,0.5,,,,,,,1,1
600090cc2864f714e71d0e45,estate,1,0.8333333333333334,,,,,,,0,0
60042af01e4c4b52c5ee0c01,estate,3,0.1666666666666666,,,,,,,1,0
600a9ab59e9b701db49fbec1,estate,2,1.0,,,,,,,0,0
